# tools/timing/cases/level1_registry.tsv -- GENERATED from the inputs registry by tools/timing/gen_registry_cases.py.
# Do not edit: change level1/<benchmark>/inputs.yaml and regenerate; `gen_registry_cases.py --check`
# (run by `cases.py check` and the tests) fails when this file and the registry disagree.
# One row per registered input; case == input_id. {REPO} is the repository root. "-" = empty.
#app	case	input_id	materialized	exe	args	cwd	env	timeout_s
adam	n10000-t200	n10000-t200	1	{REPO}/build/adam/cuda/adam_cuda	10000 200 100	{REPO}/build/adam/cuda	-	1800
adam	n100000-t200	n100000-t200	1	{REPO}/build/adam/cuda/adam_cuda	100000 200 100	{REPO}/build/adam/cuda	-	1800
adam	n1000000-t200	n1000000-t200	1	{REPO}/build/adam/cuda/adam_cuda	1000000 200 100	{REPO}/build/adam/cuda	-	1800
aes	plaintext-1mib	plaintext-1mib	1	{REPO}/build/aes/cuda/aes_cuda	-i '{REPO}/build/aes/cuda/data/input_1MB.hex' -k '{REPO}/build/aes/cuda/data/key.hex'	{REPO}/build/aes/cuda	-	1800
aes	plaintext-4mib	plaintext-4mib	1	{REPO}/build/aes/cuda/aes_cuda	-i '{REPO}/build/aes/cuda/data/input_4MB.hex' -k '{REPO}/build/aes/cuda/data/key.hex'	{REPO}/build/aes/cuda	-	1800
aes	plaintext-16mib	plaintext-16mib	1	{REPO}/build/aes/cuda/aes_cuda	-i '{REPO}/build/aes/cuda/data/input_16MB.hex' -k '{REPO}/build/aes/cuda/data/key.hex'	{REPO}/build/aes/cuda	-	1800
all_pairs_distance	iter10000	iter10000	1	{REPO}/build/all_pairs_distance/cuda/all_pairs_distance_cuda	10000	{REPO}/build/all_pairs_distance/cuda	-	1800
ao_bench	iter100	iter100	1	{REPO}/build/ao_bench/cuda/ao_bench_cuda	100	{REPO}/build/ao_bench/cuda	-	1800
atomic_reduction	default	default	1	{REPO}/build/atomic_reduction/cuda/atomic_reduction_cuda	-	{REPO}/build/atomic_reduction/cuda	-	1800
background_subtraction	w4096-h2048-merged0-r102	w4096-h2048-merged0-r102	1	{REPO}/build/background_subtraction/cuda/background_subtraction_cuda	4096 2048 0 102	{REPO}/build/background_subtraction/cuda	-	1800
background_subtraction	w4096-h2048-merged1-r102	w4096-h2048-merged1-r102	1	{REPO}/build/background_subtraction/cuda/background_subtraction_cuda	4096 2048 1 102	{REPO}/build/background_subtraction/cuda	-	1800
background_subtraction	w8192-h4096-merged0-r102	w8192-h4096-merged0-r102	1	{REPO}/build/background_subtraction/cuda/background_subtraction_cuda	8192 4096 0 102	{REPO}/build/background_subtraction/cuda	-	1800
background_subtraction	w4096-h2048-merged0-r1002	w4096-h2048-merged0-r1002	1	{REPO}/build/background_subtraction/cuda/background_subtraction_cuda	4096 2048 0 1002	{REPO}/build/background_subtraction/cuda	-	1800
backprop	n65536	n65536	1	{REPO}/build/backprop/cuda/backprop_cuda	65536	{REPO}/build/backprop/cuda	-	1800
backprop	n262144	n262144	1	{REPO}/build/backprop/cuda/backprop_cuda	262144	{REPO}/build/backprop/cuda	-	1800
backprop	n524288	n524288	1	{REPO}/build/backprop/cuda/backprop_cuda	524288	{REPO}/build/backprop/cuda	-	1800
