# tools/timing/cases/level2_registry.tsv -- GENERATED from the inputs registry by tools/timing/gen_registry_cases.py.
# Do not edit: change level2/<benchmark>/inputs.yaml and regenerate; `gen_registry_cases.py --check`
# (run by `cases.py check` and the tests) fails when this file and the registry disagree.
# One row per registered input; case == input_id. {REPO} is the repository root. "-" = empty.
#app	case	input_id	materialized	selector	registry_knobs	gpus	timeout_s
amg2023	p1-256cubed	p1-256cubed	1	HPCPERF_AMG2023_INPUT	HPCPERF_AMG_N,HPCPERF_AMG_PROBLEM,HPCPERF_SCALE_MODE	1	1800
amg2023	p1-128cubed	p1-128cubed	1	HPCPERF_AMG2023_INPUT	HPCPERF_AMG_N,HPCPERF_AMG_PROBLEM,HPCPERF_SCALE_MODE	1	1800
amg2023	p2-256cubed	p2-256cubed	1	HPCPERF_AMG2023_INPUT	HPCPERF_AMG_N,HPCPERF_AMG_PROBLEM,HPCPERF_SCALE_MODE	1	1800
amg2023	p2-128cubed	p2-128cubed	1	HPCPERF_AMG2023_INPUT	HPCPERF_AMG_N,HPCPERF_AMG_PROBLEM,HPCPERF_SCALE_MODE	1	1800
amg2023	p1-320cubed	p1-320cubed	1	HPCPERF_AMG2023_INPUT	HPCPERF_AMG_N,HPCPERF_AMG_PROBLEM,HPCPERF_SCALE_MODE	1	1800
branson	hohlraum-single-node	hohlraum-single-node	1	HPCPERF_BRANSON_INPUT	HPCPERF_BRANSON_DECK	1	1800
branson	marshak-wave-replicated	marshak-wave-replicated	1	HPCPERF_BRANSON_INPUT	HPCPERF_BRANSON_DECK	1	1800
branson	hohlraum-multi-node	hohlraum-multi-node	1	HPCPERF_BRANSON_INPUT	HPCPERF_BRANSON_DECK	1	1800
branson	lb-hohlraum	lb-hohlraum	1	HPCPERF_BRANSON_INPUT	HPCPERF_BRANSON_DECK	1	1800
cabanapic	weibel-ny512-nppc2000	weibel-ny512-nppc2000	1	HPCPERF_CABANAPIC_INPUT	HPCPERF_NPPC,HPCPERF_NUM_STEPS,HPCPERF_NY	1	1800
cabanapic	weibel-ny32-nppc100	weibel-ny32-nppc100	1	HPCPERF_CABANAPIC_INPUT	HPCPERF_NPPC,HPCPERF_NUM_STEPS,HPCPERF_NY	1	1800
cabanapic	weibel-ny128-nppc500	weibel-ny128-nppc500	1	HPCPERF_CABANAPIC_INPUT	HPCPERF_NPPC,HPCPERF_NUM_STEPS,HPCPERF_NY	1	1800
cloverleaf	bm-short-960sq-87steps	bm-short-960sq-87steps	1	HPCPERF_CLOVERLEAF_INPUT	-	1	1800
cloverleaf	bm4-short-1920sq-87steps	bm4-short-1920sq-87steps	1	HPCPERF_CLOVERLEAF_INPUT	-	1	1800
cloverleaf	bm16-short-3840sq-87steps	bm16-short-3840sq-87steps	1	HPCPERF_CLOVERLEAF_INPUT	-	1	1800
cloverleaf	bm16-3840sq-2955steps	bm16-3840sq-2955steps	1	HPCPERF_CLOVERLEAF_INPUT	-	1	1800
cloverleaf	bm128-short-15360x7680-87steps	bm128-short-15360x7680-87steps	1	HPCPERF_CLOVERLEAF_INPUT	-	1	1800
comb	local128-c100	local128-c100	1	HPCPERF_COMB_INPUT	HPCPERF_COMB_CYCLES,HPCPERF_COMB_LOCAL_SIZE	1	1800
comb	local64-c100	local64-c100	1	HPCPERF_COMB_INPUT	HPCPERF_COMB_CYCLES,HPCPERF_COMB_LOCAL_SIZE	1	1800
comb	local256-c100	local256-c100	1	HPCPERF_COMB_INPUT	HPCPERF_COMB_CYCLES,HPCPERF_COMB_LOCAL_SIZE	1	1800
exacmech	fcc-a-1m-1000	fcc-a-1m-1000	1	HPCPERF_EXACMECH_INPUT	EXACMECH_MODEL,EXACMECH_NQPTS,EXACMECH_NSTEPS	1	1800
exacmech	fcc-a-350k-60	fcc-a-350k-60	1	HPCPERF_EXACMECH_INPUT	EXACMECH_MODEL,EXACMECH_NQPTS,EXACMECH_NSTEPS	1	1800
exacmech	bcc-a-1m-1000	bcc-a-1m-1000	1	HPCPERF_EXACMECH_INPUT	EXACMECH_MODEL,EXACMECH_NQPTS,EXACMECH_NSTEPS	1	1800
examinimd	lj-160cubed-1000	lj-160cubed-1000	1	HPCPERF_EXAMINIMD_INPUT	HPCPERF_EXAMINIMD_DECK,HPCPERF_EXAMINIMD_LATTICE,HPCPERF_EXAMINIMD_STEPS,HPCPERF_SCALE_MODE	1	1800
examinimd	lj-40cubed-100	lj-40cubed-100	1	HPCPERF_EXAMINIMD_INPUT	HPCPERF_EXAMINIMD_DECK,HPCPERF_EXAMINIMD_LATTICE,HPCPERF_EXAMINIMD_STEPS,HPCPERF_SCALE_MODE	1	1800
