# tools/timing/cases/level2_registry.tsv -- GENERATED from the inputs registry by tools/timing/gen_registry_cases.py.
# Do not edit: change level2/<benchmark>/inputs.yaml and regenerate; `gen_registry_cases.py --check`
# (run by `cases.py check` and the tests) fails when this file and the registry disagree.
# One row per registered input; case == input_id. {REPO} is the repository root. "-" = empty.
#app	case	input_id	materialized	selector	registry_knobs	gpus	timeout_s
examinimd	lj-80cubed-1000	lj-80cubed-1000	1	HPCPERF_EXAMINIMD_INPUT	HPCPERF_EXAMINIMD_DECK,HPCPERF_EXAMINIMD_LATTICE,HPCPERF_EXAMINIMD_STEPS,HPCPERF_SCALE_MODE	1	1800
examinimd	snap-ta06a	snap-ta06a	1	HPCPERF_EXAMINIMD_INPUT	HPCPERF_EXAMINIMD_DECK,HPCPERF_EXAMINIMD_LATTICE,HPCPERF_EXAMINIMD_STEPS,HPCPERF_SCALE_MODE	1	1800
exampm	dambreak-0.01	dambreak-0.01	1	HPCPERF_EXAMPM_INPUT	HPCPERF_EXAMPM_EXAMPLE	1	1800
exampm	dambreak-0.05-upstream	dambreak-0.05-upstream	1	HPCPERF_EXAMPM_INPUT	HPCPERF_EXAMPM_EXAMPLE	1	1800
exampm	dambreak-0.005	dambreak-0.005	1	HPCPERF_EXAMPM_INPUT	HPCPERF_EXAMPM_EXAMPLE	1	1800
exampm	freefall-0.01	freefall-0.01	1	HPCPERF_EXAMPM_INPUT	HPCPERF_EXAMPM_EXAMPLE	1	1800
gamess_ri_mp2	w30-rand	w30-rand	1	HPCPERF_GAMESS_RI_MP2_INPUT	HPCPERF_GAMESS_INPUT,HPCPERF_GAMESS_NQVV	1	1800
gamess_ri_mp2	benz-kern	benz-kern	1	HPCPERF_GAMESS_RI_MP2_INPUT	HPCPERF_GAMESS_INPUT,HPCPERF_GAMESS_NQVV	1	1800
gamess_ri_mp2	w60-rand	w60-rand	1	HPCPERF_GAMESS_RI_MP2_INPUT	HPCPERF_GAMESS_INPUT,HPCPERF_GAMESS_NQVV	1	1800
haccabanapm	bench-256	bench-256	1	HPCPERF_HACCABANAPM_INPUT	HPCPERF_HACCABANAPM_INDAT	1	1800
haccabanapm	bench-128	bench-128	1	HPCPERF_HACCABANAPM_INPUT	HPCPERF_HACCABANAPM_INDAT	1	1800
haccabanapm	demo-128	demo-128	1	HPCPERF_HACCABANAPM_INPUT	HPCPERF_HACCABANAPM_INDAT	1	1800
hipbone	coral2-nx24-p14	coral2-nx24-p14	1	HPCPERF_HIPBONE_INPUT	-	1	1800
hipbone	sweep-nx32-p4	sweep-nx32-p4	1	HPCPERF_HIPBONE_INPUT	-	1	1800
hipbone	sweep-nx16-p8	sweep-nx16-p8	1	HPCPERF_HIPBONE_INPUT	-	1	1800
hipbone	sweep-nx9-p14	sweep-nx9-p14	1	HPCPERF_HIPBONE_INPUT	-	1	1800
hipbone	nx40-p14	nx40-p14	1	HPCPERF_HIPBONE_INPUT	-	1	1800
kripke	z32-g64-q128	z32-g64-q128	1	HPCPERF_KRIPKE_INPUT	KRIPKE_GROUPS,KRIPKE_LAYOUT,KRIPKE_QUAD,KRIPKE_ZONES	1	1800
kripke	z64-g64-q128	z64-g64-q128	1	HPCPERF_KRIPKE_INPUT	KRIPKE_GROUPS,KRIPKE_LAYOUT,KRIPKE_QUAD,KRIPKE_ZONES	1	1800
kripke	z32-g32-q64	z32-g32-q64	1	HPCPERF_KRIPKE_INPUT	KRIPKE_GROUPS,KRIPKE_LAYOUT,KRIPKE_QUAD,KRIPKE_ZONES	1	1800
kripke	z32-g64-q128-dgz	z32-g64-q128-dgz	1	HPCPERF_KRIPKE_INPUT	KRIPKE_GROUPS,KRIPKE_LAYOUT,KRIPKE_QUAD,KRIPKE_ZONES	1	1800
laghos	tg3d-rs1	tg3d-rs1	1	HPCPERF_LAGHOS_INPUT	-	1	3600
laghos	sedov2d-rs3	sedov2d-rs3	1	HPCPERF_LAGHOS_INPUT	-	1	3600
laghos	sedov3d-rs2	sedov3d-rs2	1	HPCPERF_LAGHOS_INPUT	-	1	3600
laghos	sedov3d-rs4-fom	sedov3d-rs4-fom	1	HPCPERF_LAGHOS_INPUT	-	1	3600
laghos	triplept3d-rs1	triplept3d-rs1	1	HPCPERF_LAGHOS_INPUT	-	1	3600
laghos	rt2d-rs1	rt2d-rs1	1	HPCPERF_LAGHOS_INPUT	-	1	3600
minibude	bm1-ppwi-all	bm1-ppwi-all	1	HPCPERF_MINIBUDE_INPUT	MINIBUDE_DECK,MINIBUDE_ITERS,MINIBUDE_PPWI	1	1800
minibude	bm1-ppwi2	bm1-ppwi2	1	HPCPERF_MINIBUDE_INPUT	MINIBUDE_DECK,MINIBUDE_ITERS,MINIBUDE_PPWI	1	1800
minibude	bm2-ppwi2-iters8	bm2-ppwi2-iters8	1	HPCPERF_MINIBUDE_INPUT	MINIBUDE_DECK,MINIBUDE_ITERS,MINIBUDE_PPWI	1	1800
miniem	maxwell-large-weak48	maxwell-large-weak48	1	HPCPERF_MINIEM_INPUT	HPCPERF_MINIEM_DECK,HPCPERF_SCALE_MODE	1	5400
miniem	maxwell-large-strong64	maxwell-large-strong64	1	HPCPERF_MINIEM_INPUT	HPCPERF_MINIEM_DECK,HPCPERF_SCALE_MODE	1	5400
miniem	maxwell-smoke-15	maxwell-smoke-15	1	HPCPERF_MINIEM_INPUT	HPCPERF_MINIEM_DECK,HPCPERF_SCALE_MODE	1	5400
miniem	darcy-hex	darcy-hex	1	HPCPERF_MINIEM_INPUT	HPCPERF_MINIEM_DECK,HPCPERF_SCALE_MODE	1	5400
miniweather	thermal-2048x1024-1000s	thermal-2048x1024-1000s	1	HPCPERF_MINIWEATHER_INPUT	HPCPERF_MINIWEATHER_BUILD_TAG	1	1800
miniweather	collision-2048x1024-1000s	collision-2048x1024-1000s	1	HPCPERF_MINIWEATHER_INPUT	HPCPERF_MINIWEATHER_BUILD_TAG	1	1800
miniweather	gravity-waves-2048x1024-1000s	gravity-waves-2048x1024-1000s	1	HPCPERF_MINIWEATHER_INPUT	HPCPERF_MINIWEATHER_BUILD_TAG	1	1800
miniweather	thermal-1024x512-1000s	thermal-1024x512-1000s	1	HPCPERF_MINIWEATHER_INPUT	HPCPERF_MINIWEATHER_BUILD_TAG	1	1800
p3_heat3d	n512-1000	n512-1000	1	HPCPERF_P3_HEAT3D_INPUT	-	1	1800
p3_heat3d	n256-1000	n256-1000	1	HPCPERF_P3_HEAT3D_INPUT	-	1	1800
p3_heat3d	n1024-200	n1024-200	1	HPCPERF_P3_HEAT3D_INPUT	-	1	1800
p3_vlp4d	sld10-large	sld10-large	1	HPCPERF_P3_VLP4D_INPUT	-	1	1800
p3_vlp4d	sld10	sld10	1	HPCPERF_P3_VLP4D_INPUT	-	1	1800
quicksilver	p1-profile-8c-100k-20s	p1-profile-8c-100k-20s	1	HPCPERF_QUICKSILVER_INPUT_ID	-	1	1800
quicksilver	coral2-p1-1rank	coral2-p1-1rank	1	HPCPERF_QUICKSILVER_INPUT_ID	-	1	1800
quicksilver	coral2-p2-1rank	coral2-p2-1rank	1	HPCPERF_QUICKSILVER_INPUT_ID	-	1	1800
quicksilver	cts2-1rank	cts2-1rank	1	HPCPERF_QUICKSILVER_INPUT_ID	-	1	1800
remhos	cube-remap-rs4	cube-remap-rs4	1	HPCPERF_REMHOS_INPUT	-	1	1800
remhos	cube-remap-rs1	cube-remap-rs1	1	HPCPERF_REMHOS_INPUT	-	1	1800
remhos	periodic-hexagon-p0	periodic-hexagon-p0	1	HPCPERF_REMHOS_INPUT	-	1	1800
remhos	periodic-square-p5	periodic-square-p5	1	HPCPERF_REMHOS_INPUT	-	1	1800
remhos	periodic-cube-p0	periodic-cube-p0	1	HPCPERF_REMHOS_INPUT	-	1	1800
shaw	prem-1000x5000	prem-1000x5000	1	HPCPERF_SHAW_INPUT_ID	HPCPERF_SHAW_DT,HPCPERF_SHAW_NR,HPCPERF_SHAW_NTH	1	1800
shaw	prem-200x1000-demo1	prem-200x1000-demo1	1	HPCPERF_SHAW_INPUT_ID	HPCPERF_SHAW_DT,HPCPERF_SHAW_NR,HPCPERF_SHAW_NTH	1	1800
shaw	prem-500x2500	prem-500x2500	1	HPCPERF_SHAW_INPUT_ID	HPCPERF_SHAW_DT,HPCPERF_SHAW_NR,HPCPERF_SHAW_NTH	1	1800
sw4lite	pointsource-h0.04	pointsource-h0.04	1	HPCPERF_SW4LITE_INPUT_ID	HPCPERF_SW4LITE_INPUT	1	1800
sw4lite	pointsource-h0.02	pointsource-h0.02	1	HPCPERF_SW4LITE_INPUT_ID	HPCPERF_SW4LITE_INPUT	1	1800
tealeaf	bm4-1000sq-10steps	bm4-1000sq-10steps	1	HPCPERF_TEALEAF_INPUT	-	1	1800
tealeaf	bm5e2-2000sq-10steps	bm5e2-2000sq-10steps	1	HPCPERF_TEALEAF_INPUT	-	1	1800
tealeaf	bm5-4000sq-10steps	bm5-4000sq-10steps	1	HPCPERF_TEALEAF_INPUT	-	1	1800
tealeaf	bm6-8000sq-10steps	bm6-8000sq-10steps	1	HPCPERF_TEALEAF_INPUT	-	1	1800
tealeaf	bm5e4-4000sq-2steps	bm5e4-4000sq-2steps	1	HPCPERF_TEALEAF_INPUT	-	1	1800
xsbench	large	large	1	HPCPERF_XSBENCH_INPUT	-	1	1800
xsbench	small	small	1	HPCPERF_XSBENCH_INPUT	-	1	1800
